index,name,quantity,price,date,location,date finished,previous quantity,previous price,previous date,previous location,timetoconsumtion,cheapestLocation,estimatedQuantityNeededfor a month,,,
0,ketchup,1 - 14oz,2.75,9/15/2021,Alex Market,,,,,,,,,,,
1,siracha,1,3.99,9/15/2021,Alex Market,,,,,,,,,,,not received
2,white bread,1,2.99,10/13/2021,safeway,,1,4.99,9/15/2021,Alex Market,,,,,,
3,potato bread,1,3.99,10/13/2021,safeway,,,,,,,,,,,
4,wheat bread,1,2.99,10/13/2021,safeway,,,,,,,,,,"ideas: get price per base unit(oz, lb, can, …)",
5,vanilla chai tea,1 - 20ct,3,10/13/2021,safeway,,,,,,,,,,,
6,yerba - cranpom,2,5.58,10/13/2021,safeway,,,,,,,,,,,
7,yerba - uprising,2,5.98,10/13/2021,safeway,,,,,,,,,,,
8,coffee,1 - 7oz,9.99,10/13/2021,safeway,,,,,,,,,,,
9,apple juice,1 - 64oz,2.5,10/13/2021,safeway,,,,,,,,,,,
10,pumpkin spice tea,1,4.99,10/13/2021,safeway,,,,,,,,,,,
11,bagels,1,5.19,10/13/2021,safeway,,,,,,,,,,,
12,eggo waffles,1 - 24ct,4.99,10/13/2021,safeway,,,,,,,,,,,
13,pancake mix,1 - 5lb,5.99,10/13/2021,safeway,,,,,,,,,,,
14,chicken noodle,2,5,10/13/2021,safeway,,,,,,,,,,,
15,corn,2 - cans,2,10/13/2021,safeway,,,,,,,,,,,
16,spinach,1 - 16oz,5,10/13/2021,safeway,,,,,,,,,,,
17,tomato sauce,4 - 8oz,3.56,10/13/2021,safeway,,,,,,,,,,,
18,tuna,2 - 5oz,2.38,10/13/2021,safeway,,,,,,,,,,,
19,sugar cubes,1,3.49,10/13/2021,safeway,,,,,,,,,,,
20,peperoncini,1,3.99,10/13/2021,safeway,,,,,,,,,,,
21,nutella,1-7.7oz,2.99,10/13/2021,safeway,,,,,,,,,,,
22,crescent rolls,1,3,10/13/2021,safeway,,,,,,,,,,,
23,chocolate chips,1 - 12oz,2.99,10/13/2021,safeway,,,,,,,,,,,
24,butter,1 - 45oz,4.99,10/13/2021,safeway,,,,,,,,,,,
25,whipping cream,1 - pint,4.99,10/13/2021,safeway,,,,,,,,,,,
26,shredded cheese,1 - 32oz,7.99,10/13/2021,safeway,,,,,,,,,,,
27,cheese slices,1 - 10ct,3,10/13/2021,safeway,,,,,,,,,,,
28,milk,1 - gal,4.99,10/13/2021,safeway,,,,,,,,,,,
29,yogurt,5 - 6oz,3.45,10/13/2021,safeway,,,,,,,,,,,
30,turkey breast,1 - 7oz,7.99,10/13/2021,safeway,,,,,,,,,,,
31,hummus,1 - 10oz,3.5,10/13/2021,safeway,,,,,,,,,,,
32,frozen raspberries,1 - 12oz,3.99,10/13/2021,safeway,,,,,,,,,,,
33,ice cream - raspberry,1 - 1pint,4.99,10/13/2021,safeway,,,,,,,,,,,
34,lettuce - iceberg,1 - head,2.49,10/13/2021,safeway,,,,,,,,,,,
35,lettuce - romaine,1,2.69,10/13/2021,safeway,,,,,,,,,,,
36,cucumber,4,4,10/13/2021,safeway,,,,,,,,,,,
37,jalapeno,3,1.5,10/13/2021,safeway,,,,,,,,,,,
38,del monto spinach,1 - 13.5oz,1,10/13/2021,safeway,,,,,,,,,,,
39,mushrooms - brown baby bella,1 - 8oz,2.99,10/13/2021,safeway,,,,,,,,,,,
40,mushrooms - white jumbo,1 - 24oz,5,10/13/2021,safeway,,,,,,,,,,,
41,tomato grapes,1 - 16oz,5,10/13/2021,safeway,,,,,,,,,,,
42,onion - white,1,1.49,10/13/2021,safeway,,,,,,,,,,,
43,onion - yellow,2,2.24,10/13/2021,safeway,,,,,,,,,,,
44,stri fry seasoning,1 - 1oz,1.19,10/13/2021,safeway,,,,,,,,,,,
45,tortillas - corn,1 - 10ct,2.79,10/13/2021,safeway,,,,,,,,,,,
46,golden curry mix,1,3.19,10/13/2021,safeway,,,,,,,,,,,
47,tapatio,2 - 32oz,8.89,10/13/2021,safeway,,,,,,,,,,,
48,bacon,1,6.99,10/13/2021,safeway,,,,,,,,,,,
